case	verdict	note
f19-16EC0	pass	
f19-16EC1	pass	
f19-16EC2	pass	
f19-16EC3	pass	
f19-16EC4	pass	
f19-16EC5	pass	
f19-16EC6	pass	
f19-16EC7	pass	
f19-16EC8	pass	
f19-16EC9	pass	
f19-16ECA	pass	
f19-16ECB	pass	
f19-16ECC	pass	
f19-16ECD	pass	
f19-16ECE	pass	
f19-16ECF	pass	
f19-16ED0	pass	
f19-16ED1	pass	
f19-16ED2	pass	
f19-16ED3	pass	
i1-args-ws	pass	
i1-bare-sp	pass	
i1-bare	pass	
i1-begin-sp	pass	
i1-begin-word	pass	
i1-dyn-empty	pass	
i1-dyn-noargs	pass	
i1-dyn-startup	pass	
i1-dyn-todo	pass	
i1-dyn-unterm	pass	
i1-end-alone	pass	
i1-end-args	pass	
i1-end-indent	pass	
i1-end-nocolon	pass	
i1-end-sp	pass	
i1-end-tab	pass	
i1-end-under	pass	
i1-headline-brk	pass	
i1-indent	pass	
i1-lower	pass	
i1-mixed	pass	
i1-multiword	pass	
i1-nested	pass	
i1-nospace	pass	
i1-tab-after	pass	
i16-cite-all-four	pass	
i16-cite-at-in-key	pass	
i16-cite-blanks-after-colon	pass	
i16-cite-double-semi	pass	
i16-cite-empty-style	pass	
i16-cite-nested-bracket	pass	
i16-cite-nokey	pass	
i16-cite-style-slashes	pass	
i16-cite-suffix-has-key	pass	
i16-cite-trailing-ws	pass	
i16-cite-two-keys	pass	
i16-cite-unbalanced	pass	
i2-cell-bold-cookie	pass	
i2-cell-plain-cookie	pass	
i2-desc-brack-x	pass	
i2-desc-cookie-mid	pass	
i2-desc-cookie-only	pass	
i2-hl-full	pass	
i2-hl-hashA	pass	
i2-hl-lead	pass	
i2-hl-only	pass	
i2-hl-pri-lead	pass	
i2-hl-pri	pass	
i2-hl-slash	pass	
i2-hl-todo	pass	
i2-hl-two	pass	
i2-in-bold	pass	
i2-in-desc	pass	
i2-in-item	pass	
i2-in-verse	pass	
i2-no-alpha	pass	
i2-no-dot	pass	
i2-no-empty	pass	
i2-no-leadsp	pass	
i2-no-neg	pass	
i2-no-pctpct	pass	
i2-no-pctx	pass	
i2-no-slsl	pass	
i2-no-sp1	pass	
i2-no-sp2	pass	
i2-no-three	pass	
i2-no-trailsp	pass	
i2-no-xnum	pass	
i2-ok-hundred	pass	
i2-ok-numslash	pass	
i2-ok-pct	pass	
i2-ok-pctonly	pass	
i2-ok-slash	pass	
i2-ok-slashnum	pass	
i2-ok-wide	pass	
i2-ok-zero	pass	
i26-col0-bullet	pass	
i26-col0-clock	pass	
i26-col0-comment	pass	
i26-col0-diary	pass	
i26-col0-drawer	pass	
i26-col0-dynblk	pass	
i26-col0-fixedw	pass	
i26-col0-fndef	pass	
i26-col0-hr	pass	
i26-col0-hrshort	pass	
i26-col0-keyword	pass	
i26-col0-latexenv	pass	
i26-col0-planning	pass	
i26-col0-propdrw	pass	
i26-col0-srcblk	pass	
i26-col0-table	pass	
i26-col0-telgrid	pass	
i26-fndef-bullet	pass	
i26-fndef-clock	pass	
i26-fndef-comment	pass	
i26-fndef-diary	pass	
i26-fndef-drawer	pass	
i26-fndef-dynblk	pass	
i26-fndef-fixedw	pass	
i26-fndef-fndef	pass	
i26-fndef-hr	pass	
i26-fndef-hrshort	pass	
i26-fndef-keyword	pass	
i26-fndef-latexenv	pass	
i26-fndef-planning	pass	
i26-fndef-propdrw	pass	
i26-fndef-srcblk	pass	
i26-fndef-table	pass	
i26-fndef-telgrid	pass	
i26-item-bullet	pass	
i26-item-clock	pass	
i26-item-comment	pass	
i26-item-diary	pass	
i26-item-drawer	pass	
i26-item-dynblk	pass	
i26-item-fixedw	pass	
i26-item-fndef	pass	
i26-item-hr	pass	
i26-item-hrshort	pass	
i26-item-keyword	pass	
i26-item-latexenv	pass	
i26-item-planning	pass	
i26-item-propdrw	pass	
i26-item-srcblk	pass	
i26-item-table	pass	
i26-item-telgrid	pass	
i28-a01-name-before	pass	
i28-a02-caption-before	pass	
i28-a03-zeroth-name-before	pass	
i28-h01-first	pass	
i28-h02-after-planning	pass	
i28-h03-after-blank	pass	
i28-h04-planning-blank	pass	
i28-h05-after-para	pass	
i28-h06-after-comment	pass	
i28-h07-after-keyword	pass	
i28-h08-after-drawer	pass	
i28-h09-tags-priority	pass	
i28-h10-l2-first	pass	
i28-h11-after-para-blank	pass	
i28-h12-second-propdrw	pass	
i28-h13-after-list	pass	
i28-h14-commented-headline	pass	
i28-h15-zeroth-then-headline	pass	
i28-n01-item-own-line	pass	
i28-n02-item-first	pass	
i28-n03-fndef-own-line	pass	
i28-n04-fndef-after-para	pass	
i28-n05-quote-first	pass	
i28-n06-center-first	pass	
i28-n07-in-drawer	pass	
i28-n09-quote-in-headline	pass	
i28-n10-item-in-headline-first	pass	
i28-s01-lowercase	pass	
i28-s02-mixedcase	pass	
i28-s03-indented	pass	
i28-s04-indent-open-only	pass	
i28-s05-trailing-space	pass	
i28-s06-zeroth-lowercase	pass	
i28-s07-upper-open-lower-end	pass	
i28-s08-lower-open-upper-end	pass	
i28-t01-empty	pass	
i28-t02-nonproperty-line	pass	
i28-t03-blank-inside	pass	
i28-t04-append-key	pass	
i28-t05-no-value	pass	
i28-t06-unterminated	pass	
i28-t07-two-props	pass	
i28-t08-zeroth-nonproperty	pass	
i28-t09-zeroth-empty	pass	
i28-t10-unterminated-into-headline	pass	
i28-t11-zeroth-unterminated-into-headline	pass	
i28-t12-comment-drw-drw	pass	
i28-z01-line1	pass	
i28-z02-after-comment	pass	
